Number,Name,Energy_per_100g,Total_energy_on_plate,image
143,"Fruitsalad (berries, banana, melon)",56.36,NA,143.jpg
144,Strawberries,29,NA,144.jpg
145,"Grapes, white",78,NA,145.jpg
146,Banana 2,95,NA,146.jpg
147,Apple sauce,72,NA,147.jpg
148,Tangerine,45,NA,148.jpg
149,"Kiwi, halves",68,NA,149.jpg
150,Melon,25,NA,150.jpg
151,Pineapple pieces,57,NA,151.jpg
152,Fruit salad,45.659340659340664,NA,152.jpg
153,Pear 2,55,NA,153.jpg
154,Ice lollies 2,91,NA,154.jpg
155,Plums,49,NA,155.jpg
156,Melon salad,30,NA,156.jpg
157,Nectarine,33,NA,157.jpg
158,Orange,51,NA,158.jpg
159,Raspberries,43,NA,159.jpg
160,Cherries,57,NA,160.jpg
161,Watermelon,38,NA,161.jpg
162,Red berries,48,NA,162.jpg
163,Cream crackers,465,NA,163.jpg
164,Rice crackers pepper,402,NA,164.jpg
165,"Pepper, yellow",23,NA,165.jpg
166,Radish,22,NA,166.jpg
167,Shrimps,94,NA,167.jpg
168,Crackers,391,NA,168.jpg
169,Little tomatoes,30,NA,169.jpg
170,"Eggs, halves",136,NA,170.jpg
171,"Tomato, cut",23,NA,171.jpg
172,"Sweet pepper, red",28,NA,172.jpg
173,Salty low fat crisps,481,NA,173.jpg
174,Prawn salad,NA,NA,174.jpg
175,Carrot,33,NA,175.jpg
176,Cheese salad,NA,NA,176.jpg
177,Cucumber,13,NA,177.jpg
178,Olives,111,NA,178.jpg
179,Pickles (sour),10,NA,179.jpg
180,Sweet corn,74,NA,180.jpg
181,Sushi,165,NA,181.jpg
182,Greek salad,NA,NA,182.jpg
183,Tuna  egg salad,120,NA,183.jpg
184,Pretzels,395,NA,184.jpg
185,Wotsits cheesey (chips),547,NA,185.jpg
186,Monster (chips),NA,NA,186.jpg
187,Thai Sweet chili,NA,NA,187.jpg
188,Ritz crackers,NA,NA,188.jpg
189,Bagels,NA,NA,189.jpg
190,Quiche lorraine,259,NA,190.jpg
191,Cheese and onion topped baps,NA,NA,191.jpg
192,Crackers with medium mature white cheddar cheese,NA,NA,192.jpg
193,Scottish eggs,NA,NA,193.jpg
194,Pistache nuts,NA,NA,194.jpg
195,Babybel cheese 1,NA,NA,195.jpg
196,Babybel cheese 2,NA,NA,196.jpg
197,Pasties (mini),NA,NA,197.jpg
198,Pasties,NA,NA,198.jpg
199,Bifi sausages,NA,NA,199.jpg
200,Grapes,78,NA,200.jpg
201,Coconut (open),415,NA,201.jpg
202,Coconut (half and pieces),415,NA,202.jpg
203,Blue berries,30,NA,203.jpg
204,Black berries,37,NA,204.jpg
205,Apricots,44,NA,205.jpg
206,Apricots (halves),44,NA,206.jpg
207,Orchard fruit salad,NA,NA,207.jpg
208,"Rainbowdrops, sugar coated puffed maize and rize",NA,NA,208.jpg
209,Fying saucers (sherbet fillet eafers),NA,NA,209.jpg
210,Yogurt breaks forest fruit,NA,NA,210.jpg
211,"Yogurt breaks forest fruit, turned over",NA,NA,211.jpg
212,Fruit bites orange,NA,NA,212.jpg
213,Dried ready to eat soft apricots,NA,NA,213.jpg
214,Carrots,33,NA,214.jpg
215,Ryvita thins,NA,NA,215.jpg
216,Bread stick sesame,401,NA,216.jpg
217,Mini Snack a Jacks,414,NA,217.jpg
218,Scottish rough oatcakes,NA,NA,218.jpg
219,Pumpkin seeds,NA,NA,219.jpg
220,Mini peppers,22,NA,220.jpg
221,Sunbites whole grain crispy snacks,NA,NA,221.jpg
222,Matzo sticks,NA,NA,222.jpg
223,Crab salad,NA,NA,223.jpg
224,Pickles (sour),10,NA,224.jpg
225,Jelly babies,NA,NA,225.jpg
226,Flapjack minibites,NA,NA,226.jpg
227,Bakewell tarts (sweet pastry case with a fondant iced topping),NA,NA,227.jpg
228,Blueberry muffins,NA,NA,228.jpg
229,Iced fairy cakes,NA,NA,229.jpg
230,Jam tarts,NA,NA,230.jpg
231,Tea cakes,NA,NA,231.jpg
232,Caramel short cake,NA,NA,232.jpg
233,Iced madeira cake,NA,NA,233.jpg
234,Fox's candy,NA,NA,234.jpg
235,Oat and raisin cookies,NA,NA,235.jpg
236,Chocolate eclaires,NA,NA,236.jpg
237,Chocolate eclaires,NA,NA,237.jpg
238,Mini chocolate eclaires,NA,NA,238.jpg
239,Gateau Swiss Chocolate,NA,NA,239.jpg
240,Hot cross buns,NA,NA,240.jpg
241,Marshmellows,338,NA,241.jpg
242,Mini éclair open,NA,NA,242.jpg
243,Mini éclair closed,NA,NA,243.jpg
244,Melon with ham,NA,NA,244.jpg
245,Pizza Bolognese whole,234,NA,245.jpg
246,Grapefruit and orange salad,NA,NA,246.jpg
247,Sajtos pogacsa/savoury scone with cheese,432,NA,247.jpg
248,Mixed nuts,639,NA,248.jpg
249,Biscuits sweet,433,NA,249.jpg
250,Gum candy snakes,336,NA,250.jpg
251,Turo Rudi/Chocolat bar with curd filling,364,NA,251.jpg
252,Kalacs/Braided bread with butter,319.3255813953489,NA,252.jpg
253,Kalacs/Braided bread,288,NA,253.jpg
254,Haribo gold bears,336,NA,254.jpg
255,Chocolate cookie,469,NA,255.jpg
256,Meggyes pite /Cherry pie,329,NA,256.jpg
257,Francia Kremes/Pudding pastry with chocolate,396,NA,257.jpg
258,Filled biscuit,469,NA,258.jpg
259,Red grapes,78,NA,259.jpg
260,Red grapes,78,NA,260.jpg
261,Gum candy frogs,336,NA,261.jpg
262,Peaches on syrup,60,NA,262.jpg
263,Walnuts,708,NA,263.jpg
264,Cherries on syrup,77,NA,264.jpg
265,Sandwich with pate and cucumber,219.67,NA,265.jpg
266,Sandwich with pate and cucumber,289.4498,NA,266.jpg
267,Spring onion,31,NA,267.jpg
268,Sandwich with cheese and margarine,346.294,NA,268.jpg
269,"Sandwich with margarine, salami, cucumber and cheese",266.5004,NA,269.jpg
270,"Sandwich with margarine, salami, cucumber",251.86599999999999,NA,270.jpg
271,"Sandwich with margarine, salami",318.94399999999996,NA,271.jpg
272,Small wafers,541,NA,272.jpg
273,Sandwich with ham and margarine,270.37,NA,273.jpg
274,Cheetos,535.5,NA,274.jpg
275,Hotdog,243.51999999999998,NA,275.jpg
276,Cracker with egg,195.041,NA,276.jpg
277,Swedish salami,392,NA,277.jpg
278,Open sandwich with ham,201.687,NA,278.jpg
279,Paprika salami,358,NA,279.jpg
280,Räksmörgås/ Shrimp sandwich,295,NA,280.jpg
281,Ost bröd with beef and crème fraiche with dille,257.302,NA,281.jpg
282,Ballerina cookie,485,NA,282.jpg
283,Crepe with jam,213.09999999999997,NA,283.jpg
284,Stekt falukorv/baked sausage,272,NA,284.jpg
285,Bilar/foam candy,336,NA,285.jpg
286,Cocktail nuts,547,NA,286.jpg
287,Cracker with cheese,376,NA,287.jpg
288,Punschrullar,453,NA,288.jpg
289,Round pastry/danish,315,NA,289.jpg
290,Tucs,472,NA,290.jpg
291,Chocolate muffin,419,NA,291.jpg
292,Chokladbollar/chocolat balls,428,NA,292.jpg
293,"maräng, meringue",336,NA,293.jpg
294,Quiche lorraine,259,NA,294.jpg
295,Prinsesstårta/princess cake,295,NA,295.jpg
296,Lördagsgodis/mixed candy,475.66666552998,NA,296.jpg
297,Piggelin/popsicles,91,NA,297.jpg
298,Applesauce,72,NA,298.jpg
299,Pepparkakor/ginger snaps,461,NA,299.jpg
300,Snickers,504,NA,300.jpg
301,Leibniz Pick ups biscuits,499,NA,301.jpg
302,Knoppers,548,NA,302.jpg
303,Rice wafers,382,NA,303.jpg
304,Prince biscuits,469,NA,304.jpg
305,Leibniz biscuits,443,NA,305.jpg
306,White roll with cheese,301.024,NA,306.jpg
307,White roll with mortadella,284.669,NA,307.jpg
308,White roll with jam,270.116,NA,308.jpg
309,Slices of brown bread with salami,334.434,NA,309.jpg
310,Mini salami's,392,NA,310.jpg
311,Pretzel roll,275,NA,311.jpg
312,Pretzel roll with cheese,299.596,NA,312.jpg
313,Pretzell roll with salami,294.539,NA,313.jpg
314,Pretzel roll with mortadella,283.129,NA,314.jpg
315,Kinder Milchschnitte,419.3,NA,315.jpg
316,Paprika chips,544,NA,316.jpg
317,Cheese burgers,246.3613,NA,317.jpg
318,Pita with doner,218,NA,318.jpg
319,Turkish pizza with doner,233.3333,NA,319.jpg
320,Pizza with salami,259,NA,320.jpg
